Designator,Mid X,Mid Y,Rotation,Layer
ANT1,70.656,-34.2574,270.0,top
C1,66.1761,-31.218,315.0,top
C10,64.7494,-36.7704,135.0,top
C11,67.33,-40.93,90.0,top
C12,61.77999,-41.31001,0.0,top
C13,53.82999,-31.21001,315.0,top
C14,51.93,-41.31,315.0,top
C15,44.01999,-41.26001,90.0,top
C16,41.32,-35.92001,180.0,top
C17,39.64499,-38.28501,0.0,top
C18,47.91999,-35.96001,90.0,top
C19,44.62,-35.92001,0.0,top
C2,64.7445,-34.0073,135.0,top
C3,46.51999,-39.47002,270.0,top
C4,46.86999,-35.96001,90.0,top
C5,45.91999,-37.42002,180.0,top
C6,50.73,-36.11,90.0,top
C7,63.036,-33.951,225.0,top
C8,39.93,-37.11,0.0,top
C9,65.4606,-35.3988,225.0,top
D1,38.71999,-34.01001,90.0,top
D2,39.89499,-40.41001,270.0,top
J1,34.1547,-36.11,270.0,top
L1,65.4557,-32.6172,225.0,top
L2,64.63,-31.91,225.0,top
L3,41.31999,-33.91001,0.0,top
LED1,30.651,-41.952,0.0,top
LED2,30.651,-30.268,0.0,top
R1,46.16999,-41.26001,90.0,top
R10,41.46999,-41.26001,270.0,top
R11,42.51999,-41.26001,270.0,top
R12,45.41999,-38.92002,90.0,top
R13,45.11999,-41.26001,90.0,top
R2,47.21999,-41.26001,270.0,top
R3,38.39499,-36.61001,270.0,top
R4,38.39499,-40.43501,270.0,top
R5,38.13,-30.81,0.0,top
R6,38.11999,-31.88501,0.0,top
R7,33.5452,-41.444,180.0,top
R8,33.572,-30.776,0.0,top
R9,51.32999,-39.21001,270.0,top
SW1,49.32,-32.9858,270.0,top
SW2,49.32,-39.2342,90.0,top
U1,44.64499,-32.58501,90.0,top
U2,58.209959,-36.110015,315.0,top
U3,42.945,-38.63501,90.0,top
Y1,64.79,-40.168,180.0,top
