Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT_5020,1,KH-5020D245H05,C45359218
C1,C_0402,1,"2pF,50V",C281756
"C10, C7, C8",C_0402,3,"1uF,25V",C52923
C11,C_0402,1,"10nF,50V",C15195
"C12, C13",C_0402,2,"15pF,50V",C1548
"C14, C16, C3, C5, C9",C_0402,5,"100nF,50V",C307331
"C15, C4",C_0402,2,"10uF,10V",C386033
C17,C_0805,1,"47uF,10V,0805",C124129
"C18, C19",C_0603,2,"22uF,6.3V,0603",C59461
C2,C_0402,1,"1pF,50V",C1550
C6,C_0805,1,"22uF,25V,0805",C45783
"D1, D2",SOD-323F,2,1N5819WS,C191023
"H1, H2, H20, H21, H22, H23, H24, H3, H4, H40, H41, H42, H43, H44",1x1_1.0piPad_SMD,14,MountingHole_Pad,
"H10, H11, H12, H13, H14, H15, H16, H17, H18, H19, H25, H26, H27, H28, H29, H30, H31, H32, H33, H34, H35, H36, H37, H38, H39, H5, H6, H7, H8, H9",1x1_P2.54_CastellatedPad,30,MountingHole_Pad,
J1,"USB_DIP,8.94x7.3mm",1,USB_C_Receptacle_USB2.0_DIP,C165948
"L1, L2",L_0402,2,"2.7nH,800mA,120mR",C77108
L3,FTC201612S,1,"1.5uH,4A,40mR",C5832350
LED1,LED_0603_Red,1,"LED,0603,Red",C2286
LED2,LED_0603_White,1,"LED,0603,White",C2290
LOGO1,SooDragonKOR_Mask_3.8x1.4,1,Geekble_Logo,
"R1, R2, R7",R_0402,3,"10KR,1%",C25744
"R10, R3, R4, R9",R_0402,4,"5.1KR,1%",C25905
R11,R_0402,1,"499R,1%",C4125
"R5, R6",R_0402,2,"33R,1%",C25105
R8,R_0402,1,"100KR,1%",C25741
"SW1, SW2",TS-1088-AR020,2,TS-1088-AR02016,C720477
"TH1, TH2, TH3, TH4",ToolingHole_JLCPCB,4,ToolingHole,
U1,RNM0015A,1,TPS630701RNMR,C2876599
U2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3FH4R2,C3013940
U3,SOT-23-5,1,ME6217C33M5G,C427602
Y1,SMD-3225_4P,1,40MHz,C9010
